title,director,director gender,distributor,id,rating score,title_imdb,release_date,directors,cast,countries,languages,rating,imDbRating,imDbRatingVotes,metacriticRating,budget,cumulativeWorldwideGross,keywords,awards
Chasing Amy,Kevin Smith,male,Miramax,tt0118842,7.3/10,Chasing Amy,1997-04-18,Kevin Smith,"Ben Affleck, Joey Lauren Adams, Ethan Suplee",USA,English,R,7.2,138022.0,71.0,"$250,000 (estimated)","$12,021,272","silent bob character,jay character,dialogue heavy,shared universe,promiscuous past","Awards, 5 wins & 16 nominations"
Chasing the Dragon,Wong Jing,male,"Mega-Vision Project Production, Super Bullet Pictures, Bona Film Group",tt6015328,6/10,Chasing the Dragon,2017-09-28,"Jason Kwan, Jing Wong, Aman Chang","Donnie Yen, Andy Lau, Philip Keung","Hong Kong, China","Cantonese, Mandarin, English, Thai, Teochew",,6.7,4095.0,,,"$87,965,942","golden triangle,triad,hong kong,bangkok thailand,1960s","Awards, 3 wins & 5 nominations"
Chernobyl Diaries,Bradley Parker,,Warner Bros.,tt1991245,4.1/10,Chernobyl Diaries,2012-05-25,Bradley Parker,"Jesse McCartney, Jonathan Sadowski, Olivia Taylor Dudley",USA,"English, Ukrainian, Russian",R,5.0,66403.0,32.0,"$1,000,000 (estimated)","$38,390,020","abandoned building,chernobyl disaster,abandoned city,city name in title,chernobyl ukraine","Awards, 1 nomination"
Chicken Kokkachi,,,,tt6817922,,,,,,,,,,,,,,,
Chief Daddy,Niyi Akinmolayan,male,Ebonylife TV,tt9652322,,Chief Daddy,2018-12-14,Niyi Akinmolayan,"Bisola Aiyeola, Dakore Akande, Funke Akindele",Nigeria,"English, Yoruba",,4.7,286.0,,,,,
Child's Play,Tom Holland,male,"('Netflix', 'UIP-Dunafilm')",tt0094862,6.5/10,Child's Play,1988-11-09,Tom Holland,"Catherine Hicks, Chris Sarandon, Alex Vincent",USA,English,R,6.6,101054.0,58.0,"$9,000,000 (estimated)","$44,196,684","andy barclay character,spell,animatronic,chucky character,gift","Awards, 2 wins & 4 nominations"
China Salesman,,,"Cleopatra Entertainment, WanDa Pictures, TIK Films",tt6015706,2.2/10,China Salesman,2018-06-15,Tan Bing,"Dongxue Li, Mike Tyson, Janicke Askevold","USA, China, Hong Kong","Chinese, English",Not Rated,2.7,1650.0,14.0,"CN¥110,000,000 (estimated)","$1,637,776","gunfight,shootout,battle,battlefield,combat","Awards, 1 win"
Chittagong,Bedabrata Pain,male,Netflix,tt1785333,,Chittagong,2012-10-12,Bedabrata Pain,"Manoj Bajpayee, Barry John, Delzad Hiwale","USA, India, Bangladesh","Hindi, Bengali, English",Not Rated,7.3,1716.0,,,,school,"Awards, 4 wins"
Chitty Chitty Bang Bang,Ken Hughes,male,Vudu,tt0062803,67%,Chitty Chitty Bang Bang,1968-12-18,Ken Hughes,"Dick Van Dyke, Sally Ann Howes, Lionel Jeffries","UK, USA","English, German, French, Latin",G,6.9,46242.0,64.0,"$10,000,000 (estimated)","$7,500,445","flying car,based on novel,old age makeup,good versus evil,negotiation","Nominated for 1 Oscar, 4 nominations total"
Chloe,Atom Egoyan,male,Sony Pictures Classics,tt1352824,5.7/10,Chloe,2010-03-10,Atom Egoyan,"Julianne Moore, Amanda Seyfried, Liam Neeson","USA, Canada, France",English,R,6.3,73792.0,48.0,"$14,000,000 (estimated)","$13,657,649","lesbian sex,older woman younger woman relationship,borderline personality disorder,abandonment issues,escort","Awards, 3 wins & 5 nominations"
Chris Brown: Welcome to My Life,,,Netflix,tt5588850,,Chris Brown: Welcome To My Life,2017-06-08,Andrew Sandler,"Mary J. Blige, Chris Brown, DJ Khaled",USA,English,Unrated,5.5,1077.0,,,"$693,984",life,
Christian Mingle,Corbin Bernsen,male,Capitol Christian Music Group,tt3398066,,Christian Mingle,2015-02-13,Corbin Bernsen,"Lacey Chabert, Jonathan Patrick Moore, Saidah Arrika Ekulona",USA,"English, Spanish",PG,4.2,1675.0,,"$650,000 (estimated)","$25,480","prominent product placement,product placement,commercial,advertisement,magical thinking",
Christmas with the Kranks,Joe Roth,male,InterCom,tt0388419,5%,Christmas with the Kranks,2004-11-24,Joe Roth,"Tim Allen, Jamie Lee Curtis, Dan Aykroyd",USA,"English, Spanish",PG,5.4,49445.0,22.0,"$60,000,000 (estimated)","$96,593,018","christmas,slapstick comedy,santa claus,vacation,farce","Awards, 3 wins & 4 nominations"
Chronicle of an Escape,Adrián Caetano,male,20th Century Studios,tt0479354,5.8/10,,,,,,,,,,,,,,
Chupan Chupai,Mohsin Ali,male,Hum Films,tt5457656,,Hide and Seek,2017-12-29,Mohsin Ali,"Ahsan Khan, Neelam Muneer, Faizan Khawaja",Pakistan,Urdu,,5.4,269.0,,,"$13,729",nature,"Awards, 4 nominations"
Chupke Chupke,Hrishikesh Mukherjee,male,Netflix,tt0072783,,Chupke Chupke,1975-04-11,Hrishikesh Mukherjee,"Dharmendra, Sharmila Tagore, Amitabh Bachchan",India,Hindi,Not Rated,8.3,12609.0,,"₹991,000 (estimated)",,"neo screwball comedy,brother in law brother in law relationship,chauffeur,prank,breaking the fourth wall",
Cirque du Freak: The Vampire's Assistant,Paul Weitz,male,Universal Pictures,tt0450405,38%,Cirque du Freak: The Vampire's Assistant,2009-10-23,Paul Weitz,"Chris Massoglia, John C. Reilly, Salma Hayek",USA,"English, Spanish, French",PG-13,5.8,46585.0,43.0,"$40,000,000 (estimated)","$39,291,383","vampire versus vampire,based on young adult novel,circus freak,freakshow,based on novel","Awards, 1 nomination"
City of God,Fernando Meirelles,male,,tt1854518,,,,,,,,,,,,,,,
City of Tiny Lights,Pete Travis,male,Icon Productions,tt1966385,5.5/10,City of Tiny Lights,2017-07-26,Pete Travis,"Riz Ahmed, Billie Piper, James Krishna Floyd",UK,English,Not Rated,5.5,2403.0,55.0,"£3,000,000 (estimated)","$54,903","father son relationship,cancer,family home,hotel room,hotel","Awards, 2 nominations"
Clash of the Titans,Louis Leterrier,male,Netflix,tt0800320,4.3/10,Clash of the Titans,2010-04-02,Louis Leterrier,"Sam Worthington, Liam Neeson, Ralph Fiennes","USA, UK, Australia",English,PG-13,5.8,282029.0,39.0,"$125,000,000 (estimated)","$493,214,993","kraken,greek mythology,hand to hand combat,famous line,myth","Awards, 4 wins & 14 nominations"
Class Rank,Eric Stoltz,male,Cinedigm,tt5219972,86%,,,,,,,,,,,,,,
Cleopatra Jones,Jack Starrett,male,Warner Bros.,tt0069890,6.1/10,Cleopatra Jones,1973-07-13,Jack Starrett,"Tamara Dobson, Bernie Casey, Brenda Sykes",USA,English,PG,5.9,3113.0,58.0,,,"car,automobile,chevrolet,ford,ford galaxie",
Click,Frank Coraci,male,InterCom,tt0389860,4.8/10,Click,2006-06-23,Frank Coraci,"Adam Sandler, Kate Beckinsale, Christopher Walken",USA,"English, Portuguese, Japanese",PG-13,6.4,329628.0,45.0,"$82,500,000 (estimated)","$240,685,326","remote control,workaholic,architect,employer employee relationship,sex scene","Nominated for 1 Oscar, 3 wins & 12 nominations total"
Clive Davis: The Soundtrack of Our Lives,,,Netflix,tt6494358,6.4/10,Clive Davis: The Soundtrack of Our Lives,2019-09-17,Chris Perkel,"Clive Davis, Simon Cowell, Jimmy Iovine",USA,English,Not Rated,7.4,1008.0,57.0,,,work,"Awards, 3 wins"
Closed Circuit,Giuliano Montaldo,male,Universal Pictures,tt2218003,5.4/10,Closed Circuit,2013-08-28,John Crowley,"Eric Bana, Rebecca Hall, Jim Broadbent","UK, USA",English,R,6.2,22603.0,50.0,"$15,000,000 (estimated)","$6,331,939","murder of a journalist,murder,female in a shower,woman wrapped in a towel,motor vehicle",
Cloud Atlas,Tom Tykwer,male,Warner Bros.,tt1371111,4/4,Cloud Atlas,2012-10-26,"Tom Tykwer, Lana Wachowski, Lilly Wachowski","Tom Hanks, Halle Berry, Hugh Grant","USA, Germany, Hong Kong, Singapore, China","English, Spanish, Ukrainian, Korean",R,7.4,361521.0,55.0,"$102,000,000 (estimated)","$130,516,424","future,reincarnation,clone,nonlinear timeline,tribe","Awards, 15 wins & 79 nominations"
Clouds of Sils Maria,Olivier Assayas,male,Netflix,tt2452254,7.6/10,Clouds of Sils Maria,2014-08-20,Olivier Assayas,"Juliette Binoche, Kristen Stewart, Chloë Grace Moretz","France, Germany, Switzerland","English, French, German, Swiss German",R,6.7,29700.0,79.0,,"$4,728,401","female full frontal nudity,female nudity,actress,swimming in underwear,divorce papers","Awards, 20 wins & 46 nominations"
Cloverfield,Matt Reeves,male,UIP-Dunafilm,tt1060277,6.8/10,Cloverfield,2008-01-18,Matt Reeves,"Mike Vogel, Jessica Lucas, Lizzy Caplan",USA,"English, Russian, French, Japanese",PG-13,7.0,396660.0,64.0,"$25,000,000 (estimated)","$172,394,180","found footage,gigantic monster,night vision,survival,alien","Awards, 5 wins & 34 nominations"
Coach Carter,Thomas Carter,male,Paramount Pictures,tt0393162,6/10,Coach Carter,2005-01-14,Thomas Carter,"Samuel L. Jackson, Rick Gonzalez, Robert Ri'chard","USA, Germany",English,PG-13,7.3,147825.0,57.0,"$30,000,000 (estimated)","$76,669,554","underage drinking,teenager,teenage pregnancy,single mother,gang violence","Awards, 3 wins & 15 nominations"
Code Name: The Cleaner,Les Mayfield,male,New Line Cinema,tt0462229,3.2/10,Code Name: The Cleaner,2007-01-05,Les Mayfield,"Cedric the Entertainer, Lucy Liu, Nicollette Sheridan",USA,English,PG-13,4.6,11784.0,33.0,"$20,000,000 (estimated)","$10,337,477","female nudity,female rear nudity,villainess,violence,comic violence","Awards, 2 nominations"
Coffee with D,Vishal Mishra,male,Apex Entertainment,tt6334874,17,Coffee with D,2017-01-20,Vishal Mishra,"Sunil Grover, Zakhir Hussain, Yugant Badri Pandey",India,,,4.7,2519.0,,,,journalist,
Colkatay Columbus,,,Netflix,tt6069520,,Colkatay Columbus,2016-11-11,Saurav Palodhi,"Mir Afsar Ali, Anirban Bhattacharya, Gaurav Chakrabarty",India,Bengali,,3.9,154.0,,,,"calcutta,kolkata,india,indian society,flatmates",
Colonia,Florian Gallenberger,male,Netflix,tt4005402,29%,Colonia,2016-04-15,Florian Gallenberger,"Emma Watson, Daniel Brühl, Michael Nyqvist","Germany, France, Luxembourg, UK, USA","English, Spanish",R,7.0,53724.0,33.0,"$14,000,000 (estimated)","$3,621,046","cult,escape,secret prison,religion,religious fanatic","Awards, 1 win & 9 nominations"
Come and Find Me,Zack Whedon,male,Saban Capital Group,tt2597768,5.7/10,Come and Find Me,2016-11-11,Zack Whedon,"Aaron Paul, Annabelle Wallis, Garret Dillahunt","Canada, USA, UK",English,R,5.7,8988.0,46.0,,"$4,052","girlfriend,missing person,four word title,written by director,debut film","Awards, 1 nomination"
Company,Ram Gopal Varma,male,,,,,,,,,,,,,,,,,
Compulsion,Richard Fleischer,male,Netflix,tt2381931,,,,,,,,,,,,,,,
Concussion,Stacie Passon,female,Cirko Film,tt2296697,75%,Concussion,2013-12-05,Stacie Passon,"Robin Weigert, Maggie Siff, Johnathan Tchaikovsky",USA,English,R,5.6,6215.0,56.0,,"$78,957","sex work,lesbian marriage,lesbian fingering,older woman younger woman sex,dialogue during opening credits","Awards, 4 wins & 10 nominations"
Contract,Shirley Frimpong-Manso,female,,tt1176914,,,,,,,,,,,,,,,
Convict,Yevgeni Chervyakov,male,,tt0028528,,,,,,,,,,,,,,,
Cool Hand Luke,Stuart Rosenberg,male,Warner Bros.-Seven Arts,tt0061512,100%,Cool Hand Luke,1967-11-01,Stuart Rosenberg,"Paul Newman, George Kennedy, Strother Martin",USA,English,GP,8.1,176523.0,92.0,"$3,200,000 (estimated)",$67,"prison,fugitive,escape,bet,hard boiled egg","Top rated movie #234 | Won 1 Oscar, 4 wins & 10 nominations total"
Counterfeiting in Suburbia,Jason Bourque,male,Netflix,tt7776830,,Counterfeiting in Suburbia,2020-06-19,Jason Bourque,"Sarah Butler, Larissa Dias, Kayla Wallace",Canada,English,TV-14,4.8,350.0,,,,,"Awards, 3 nominations"
Covered: Alive in Asia,Galley Molina,,Netflix,tt4818644,,Covered-Alive in Asia,2016-01-19,"Micah Bickham, Galley Molina","Yolanda Adams, Rance Allen, Isaac Carree",USA,English,Not Rated,6.3,19.0,,"$500,000 (estimated)",,,
Crash,David Cronenberg,male,Netflix,tt0115964,6.8/10,,,,,,,,,,,,,,
CRD,Kranti Kanade,male,"Chaitra Arts, KanadéFilms",tt5359624,100,Crd,2017-09-29,Kranti Kanadé,"Mrinmayee Godbole, Saurabh Saraswat, Vinay Sharma",India,"Hindi, English, French",Not Rated,6.0,129.0,,,,,
"Crouching Tiger, Hidden Dragon",Ang Lee,male,InterCom,tt0190332,97%,"Crouching Tiger, Hidden Dragon",2001-01-12,Ang Lee,"Chow Yun-Fat, Michelle Yeoh, Ziyi Zhang","Taiwan, Hong Kong, USA, China","Mandarin, Chinese",PG-13,7.9,268261.0,94.0,"$17,000,000 (estimated)","$213,525,736","china,female martial artist,defying gravity,tragic hero,mixed martial arts","Won 4 Oscars, 102 wins & 134 nominations total"
Cult of Chucky,Don Mancini,male,Universal Studios Home Entertainment,tt3280262,6.1/10,Cult of Chucky,2017-10-03,Don Mancini,"Allison Dawn Doiron, Alex Vincent, Brad Dourif","Canada, USA",English,R,5.2,25237.0,69.0,,,"electroshock therapy,wheelchair,multiple sclerosis,decapitation,killer doll","Awards, 1 nomination"
Cutie and the Boxer,Zachary Heinzerling,male,Netflix,tt2355540,7.7/10,Cutie and the Boxer,2013-08-01,Zachary Heinzerling,"Ushio Shinohara, Noriko Shinohara, Alex Shinohara",USA,"English, Japanese",R,7.2,4628.0,83.0,,"$200,036","biographical documentary,art and entertainment documentary,art documentary,art,line art","Nominated for 1 Oscar, 8 wins & 14 nominations total"
Daagdi Chaawl,,,"Mangal Murti Films, Everest Entertainment, Mangal Murti Films",tt5108764,,Dagadi Chaawl,2015-10-02,Chandrakant Kanse,"Ankush Chaudhari, Makrand Deshpande, Pooja Sawant",India,"Marathi, Hindi",,6.2,237.0,,,,"organized crime,mumbai underworld,arun gawli",
Dad,Gary David Goldberg,male,Universal Pictures,tt0097142,5.7/10,Dad,1989-11-10,Gary David Goldberg,"Jack Lemmon, Ted Danson, Olympia Dukakis",USA,English,PG,6.3,5011.0,43.0,"$19,000,000 (estimated)","$27,503,037","heart attack,playing catch,coma,delusion,terminal illness","Nominated for 1 Oscar, 2 wins & 5 nominations total"
Daddy Day Care,Steve Carr,male,Columbia Pictures,tt0317303,4.6/10,Daddy Day Care,2003-05-09,Steve Carr,"Eddie Murphy, Jeff Garlin, Anjelica Huston",USA,"English, Klingon, German",PG,5.6,68737.0,39.0,"$60,000,000 (estimated)","$164,433,867","children,laid off,breakfast cereal,male protagonist,quitting a job","Awards, 1 win & 6 nominations"
Daddy Issues,,,,tt6271806,,,,,,,,,,,,,,,
Daffedar,,,,tt6099884,,,,,,,,,,,,,,,
Dallas Buyers Club,Jean-Marc Vallée,male,ProVideo,tt0790636,92%,Dallas Buyers Club,2013-11-22,Jean-Marc Vallée,"Matthew McConaughey, Jennifer Garner, Jared Leto",USA,"English, Japanese",R,7.9,484345.0,79.0,"$5,000,000 (estimated)","$55,736,588","hiv,gay community,homophobia,drugs,hiv positive","Won 3 Oscars, 84 wins & 87 nominations total"
Dante's Peak,Roger Donaldson,male,Universal Pictures,tt0118928,5.4/10,Dante's Peak,1997-02-07,Roger Donaldson,"Pierce Brosnan, Linda Hamilton, Jamie Renée Smith",USA,English,PG-13,6.0,90842.0,43.0,"$116,000,000 (estimated)","$178,127,760","trying to warn someone in danger,name in title,water sample,pine forest,dead squirrel","Awards, 4 wins & 1 nomination"
Dark Crimes,Alexandros Avranas,male,Saban Capital Group,tt1901024,2.8/10,Dark Crimes,2018-05-18,Alexandros Avranas,"Jim Carrey, Marton Csokas, Charlotte Gainsbourg","USA, Poland, UK",English,R,4.7,21017.0,24.0,"€3,800,000 (estimated)","$21,216","female rear nudity,bondage,rape,violent sex,female frontal nudity",
Dark Places,Don Sharp,male,Cinerama Releasing Corporation,tt0071391,,,,,,,,,,,,,,,
Darna Mana Hai,Prawaal Raman,male,"K Sera Sera, Varma Corporation",tt0349333,,Darna Mana Hai,2003-07-25,Prawaal Raman,"Saif Ali Khan, Sameera Reddy, Vivek Oberoi",India,Hindi,Not Rated,6.3,3530.0,,,"$1,335,493","power,group of friends,apple,reference to tom and jerry,storytelling","Awards, 1 win & 3 nominations"
Darra,Parveen Kumar,female,Netflix,tt5926848,,Darra,2016-09-02,Parveen Kumar,"Karamjit Anmol, Pammi Bai, Kartar Cheema",India,Punjabi,,5.4,41.0,,"₹3,000,000 (estimated)","$2,529",school,
Daughters of the Dust,Julie Dash,female,Kino International,tt0104057,7.8/10,Daughters of the Dust,1991-12-27,Julie Dash,"Cora Lee Day, Alva Rogers, Barbarao","USA, Germany","English, French",TV-PG,6.6,2650.0,81.0,,"$1,689,723","triple f rated,title directed by female,feminist film,written by director,year 1902","Awards, 4 wins & 2 nominations"
Dayveon,,,FilmRise,tt6266218,6.8/10,Dayveon,2017-09-27,Amman Abbasi,"Devin Blackmon, Dontrell Bright, Lachion Buckingham",USA,English,,6.2,534.0,69.0,,"$2,077","brother,weightlifting,shirtless boy,milk,smoking marijuana","Awards, 3 wins & 8 nominations"
De Film van Dylan Haegens,Dylan Haegens,male,"2CFilm, Liever Sociaal BV, Online Cookie Collective",tt8161554,,De film van Dylan Haegens,2018-08-16,"Dylan Haegens, Bas van Teylingen","Dylan Haegens, Nick Golterman, Teun Peters",Netherlands,Dutch,,4.1,560.0,,,"$2,201,702","wilhelm scream,boxer shorts,bare chested male,bed,disguise","Awards, 1 win & 1 nomination"
De Palma,Noah Baumbach,male,A24,tt1683048,8/10,De Palma,2016-09-23,"Noah Baumbach, Jake Paltrow","Brian De Palma, Mark Hamill, Amy Irving",USA,English,R,7.4,5575.0,83.0,,"$168,045","filmmaking,entertainment documentary,director,documentary subject&apos;s name in title,film making","Awards, 1 win & 4 nominations"
Deadline: Sirf 24 Ghante,Tanveer Ahmed,male,Percept Picture Company,tt0946999,,Deadline: Sirf 24 Ghante,2006-11-10,Tanveer Khan,"Rajit Kapoor, Konkona Sen Sharma, Jhanak Shukla",India,Hindi,,6.3,633.0,,,,hostage,
Dean,Demetri Martin,male,Hulu,tt3914332,6.2/10,,,,,,,,,,,,,,
Dear Dad,,,"Indian Film Studios, Peppermint Studios",tt5615116,29%,Dear Dad,2016-05-06,Tanuj Bhramar,"Arvind Swamy, Ekavali Khanna, Himanshu Sharma",India,Hindi,,6.2,428.0,,,,,
Dear Santa,Fred Olen Ray,male,Netflix,,,,,,,,,,,,,,,,
Death at a Funeral,Frank Oz,male,Netflix,tt0795368,6/10,,,,,,,,,,,,,,
Death House,John Saxon,male,Hannover House,tt2984576,40%,Death House,2018-02-23,B. Harrison Smith,"Bill Moseley, Tony Todd, Nicole Cinaglia",USA,English,R,2.9,1611.0,,,"$23,833","topless female nudity,female nudity,secret prison,evil creature,gore","Awards, 3 wins"
Deathgrip,,,Netflix,tt7046112,,Deathgrip,2017-04-03,Clay Porter,"Josh Bryceland, Brendan Fairclough, Brandon Semenuk",UK,English,Not Rated,6.3,159.0,,,,,
Deewangee,Anees Bazmee,male,Neha Arts,tt0337971,,Deewangee,2002-10-25,Anees Bazmee,"Ajay Devgn, Akshaye Khanna, Urmila Matondkar",India,Hindi,,6.5,2827.0,,,"$3,863,976","train station,party,mother son relationship,prison,prison visit","Awards, 7 wins & 3 nominations"
Defying the Nazis: The Sharps' War,Ken Burns,male,PBS,tt1339660,100%,Defying the Nazis: The Sharps' War,2016-09-20,"Ken Burns, Artemis Joukowsky","Marina Goldman, Tom Hanks",USA,English,PG,7.1,593.0,,,,"unitarian,czech,american,minister,jew","Awards, 2 wins"
Delirium,Renato Polselli,male,Universal Pictures,tt2069797,0,Delirium,2018-05-22,Dennis Iliadis,"Genesis Rodriguez, Topher Grace, Callan Mulvey",USA,English,R,5.7,7600.0,,,,"one word title,mansion,inheritance,inherited house,haunted house",
Den of Thieves,Christian Gudegast,male,STX Entertainment,tt1259528,5.1/10,Den of Thieves,2018-01-19,Christian Gudegast,"Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr.",USA,"English, Polynesian, Spanish",R,7.0,111141.0,49.0,"$30,000,000 (estimated)","$80,509,622","strip club,los angeles california,cleavage,scantily clad female,bare breasts","Awards, 1 nomination"
Desolate,,,,,,,,,,,,,,,,,,,
Detention Letter,Mohamed Samy,male,Rotana Studios,tt6034164,,Detention Letter,2017-06-25,Mohamed Samy,"Salem Abdo, Sabri Abdulmonem, Muhammad Abu-Dawood",Egypt,Arabic,,4.6,529.0,,,"$337,770",,
Detour,Grisha Ostrovski,male,Netflix,tt0037638,98,Detour,1946-01-25,Edgar G. Ulmer,"Tom Neal, Ann Savage, Claudia Drake",USA,English,Passed,7.3,17581.0,,"$30,000 (estimated)","$16,172","b movie,blackmail,impersonation,telephone,hitchhiking","Awards, 1 nomination"
Devil's Bride,Saara Cantell,female,Netflix,tt4771956,,Devil's Bride,2016-09-09,Saara Cantell,"Tuulia Eloranta, Magnus Krepper, Elin Petersdottir","Finland, Sweden, Norway, Latvia, Germany","Finnish, Swedish",R,6.0,1319.0,,"€2,800,000 (estimated)","$267,931","history of finland,witchcraft,lust,rural,rural setting","Awards, 1 win & 1 nomination"
Devil's Gate,,,Netflix,tt0309510,,,,,,,,,,,,,,,
Devrai,Sumitra Bhave–Sunil Sukthankar,male,Netflix,tt0451702,,Devrai,2004-03-11,"Sumitra Bhave, Sunil Sukthankar","Atul Kulkarni, Sonali Kulkarni, Tushar Dalvi",India,Marathi,Not Rated,7.8,103.0,,,,"schizophrenia,grove,flashback,visual hallucination,servant","Awards, 1 win & 1 nomination"
Dhamaal,Indra Kumar,male,Maruti International,tt0845448,,Dhamaal,2007-09-07,Indra Kumar,"Sanjay Dutt, Riteish Deshmukh, Arshad Warsi",India,Hindi,Not Rated,7.4,16059.0,,,"$11,077,541","child,reckless driving,race,stolen car,money","Awards, 2 nominations"
Diary of a Chambermaid,Luis Buñuel,male,Sony Pictures,tt0058249,87%,,,,,,,,,,,,,,
Die Another Day,Lee Tamahori,male,Metro-Goldwyn-Mayer,tt0246460,6/10,Die Another Day,2002-11-22,Lee Tamahori,"Pierce Brosnan, Halle Berry, Rosamund Pike","UK, USA","English, Korean, Cantonese, Spanish, German, Icelandic, Italian, Arabic",PG-13,6.1,219006.0,56.0,"$142,000,000 (estimated)","$431,971,116","north korea,iceland,gadget car,british secret service,weaponised car","Awards, 6 wins & 36 nominations"
